,origin_name,color,residue,turbidity,label
0,IMG_20220707_073616,0,0,0,0
1,IMG_20220725_234236,0,1,0,0
2,IMG_20220726_063829,0,1,0,0
3,IMG_20220830_211847,0,0,0,0
4,IMG_20220904_220058,0,0,0,0
5,IMG_20220904_220058_1,0,0,0,0
6,IMG_20220921_202403,0,0,0,0
7,IMG_20220923_120237,0,0,0,0
8,IMG_20220923_121143,0,0,0,0
9,IMG_20220926_161734,0,2,1,1
10,IMG_20220926_190932,0,2,0,1
11,IMG_20220926_195349,0,0,0,0
12,IMG_20220929_183947,0,0,0,0
13,IMG_20221006_232946,0,0,0,0
14,IMG_20221017_181250,0,0,0,0
15,IMG_20221017_183526,0,0,0,0
16,IMG_20221024_182235,0,0,0,0
17,IMG_20221024_193902,0,0,0,0
18,IMG_20221024_195811,0,0,0,0
19,IMG_20221024_204506,0,0,0,0
20,IMG_20221027_230721,0,1,0,0
21,IMG_20220503_134808,1,2,0,2
22,IMG_20220504_002259,1,1,1,1
23,IMG_20220504_002259_1,1,1,1,1
24,IMG_20220504_003149,1,2,1,2
25,IMG_20220504_003149_1,1,1,1,1
26,IMG_20220508_171824,1,2,0,1
27,IMG_20220510_212622,1,1,0,1
28,IMG_20220516_214014,1,2,1,2
29,IMG_20220516_221810,1,2,0,2
30,IMG_20220516_225341,1,2,1,2
31,IMG_20220522_170451,1,2,0,2
32,IMG_20220522_185418,1,2,0,2
33,IMG_20220529_185648,1,2,0,1
34,IMG_20220616_223446,1,2,1,1
35,IMG_20220616_223452,1,2,1,1
36,IMG_20220620_155613_1,1,2,1,2
37,IMG_20220627_174424,1,2,0,2
38,IMG_20220627_174424_1,1,2,0,2
39,IMG_20220712_230725,1,1,0,1
40,IMG_20220718_175433,1,1,0,1
41,IMG_20220726_011351,1,2,0,1
42,IMG_20220731_214134,1,2,0,1
43,IMG_20220731_221241,1,2,0,1
44,IMG_20220804_233952,1,2,0,1
45,IMG_20220805_000706,1,2,0,1
46,IMG_20220808_173412_1,1,2,0,1
47,IMG_20220829_175042,1,1,1,0
48,IMG_20220904_185340,1,0,0,0
49,IMG_20220904_185346,1,0,0,0
50,IMG_20220904_231628_1,1,2,0,0
51,IMG_20220905_202841,1,2,0,0
52,IMG_20220906_165554,1,2,0,0
53,IMG_20220906_171354,1,2,1,2
54,IMG_20220906_172028,1,2,1,1
55,IMG_20220906_173613,1,2,1,1
56,IMG_20220906_175047,1,2,1,1
57,IMG_20220906_182504,1,2,1,1
58,IMG_20220906_201427,1,2,1,1
59,IMG_20220912_191954,1,2,1,1
60,IMG_20220918_201229,1,2,1,1
61,IMG_20220918_203226,1,2,0,1
62,IMG_20220918_203226_1,1,2,0,1
63,IMG_20220918_211621,1,2,0,1
64,IMG_20220919_060108,1,2,0,1
65,IMG_20220921_204746,1,2,0,1
66,IMG_20220921_213900,1,1,0,1
67,IMG_20220921_233549,1,2,0,1
68,IMG_20220926_205533,1,1,0,0
69,IMG_20220926_212742,1,2,0,0
70,IMG_20220926_220540,1,1,0,0
71,IMG_20220926_221346,1,2,1,1
72,IMG_20220926_222402,1,2,1,2
73,IMG_20221003_185829,1,2,0,1
74,IMG_20221003_185834,1,2,0,1
75,IMG_20221006_235308,1,1,0,0
76,IMG_20221007_002445,1,1,0,0
77,IMG_20221017_180732,1,2,1,1
78,IMG_20221021_063215,1,1,0,0
79,IMG_20221024_221613,1,2,0,1
80,IMG_20221025_000748,1,1,0,0
81,IMG_20221027_194818,1,1,0,0
82,IMG_20221027_204853,1,2,0,1
83,IMG_20221027_214248,1,2,0,1
84,IMG_20220502_175126,2,2,1,1
85,IMG_20220502_234303,2,2,1,1
86,IMG_20220502_235634,2,1,1,1
87,IMG_20220502_235641,2,1,1,1
